trial_id,title,status,phase,start_date,url
ct_452e324589,Clinical trial for graphene membranes,Completed,Preclinical,2021-08-29,https://clinical.example/e8000e4e6aa9
ct_75a88d5d8c,Clinical trial for single-cell multiomics,Completed,Phase 3,2024-05-31,https://clinical.example/622b2da15d0a
ct_e152998655,Clinical trial for solid-state cooling,Completed,Phase 3,2016-06-27,https://clinical.example/9d2e9b56590e
ct_a056a258f5,Clinical trial for AI-driven medicinal chemistry,Recruiting,Phase 3,2019-08-02,https://clinical.example/daa54d980fe0
ct_fdc2697e49,Clinical trial for lab-on-a-chip,"Active, not recruiting",Phase 3,2022-09-01,https://clinical.example/dead35e289c4
ct_98465abceb,Clinical trial for ultrafast Li-ion charging,Terminated,Preclinical,2022-04-13,https://clinical.example/4037c0d577b3
ct_bf107e78d9,Clinical trial for nanopore sequencing,"Active, not recruiting",Preclinical,2019-12-12,https://clinical.example/bfaea8ed5ca3
ct_0b7ab220d7,Clinical trial for biosensors,Recruiting,Phase 3,2016-02-26,https://clinical.example/2347adc3f685
ct_f7755015f4,Clinical trial for nanopore sequencing,Terminated,Phase 3,2020-08-19,https://clinical.example/79caa1f192c4
ct_52cb75a930,Clinical trial for bioreactor control,"Active, not recruiting",Preclinical,2018-12-20,https://clinical.example/cd4e2450d075
ct_789ce9a5c3,Clinical trial for nanopore sequencing,Completed,Phase 1,2022-05-09,https://clinical.example/ab50a0b1584d
ct_c40b353c52,Clinical trial for nanopore sequencing,Recruiting,Phase 1,2016-04-25,https://clinical.example/b39cdae29f88
ct_e56bc95442,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 3,2017-02-23,https://clinical.example/d13c86a7aaaf
ct_52dc662943,Clinical trial for diagnostic imaging,"Active, not recruiting",Phase 3,2024-05-22,https://clinical.example/a8b5cac8aefa
ct_c0209f5c68,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 3,2021-12-28,https://clinical.example/16bd35a11b74
ct_f53e4ca03e,Clinical trial for diagnostic imaging,Recruiting,Preclinical,2022-02-28,https://clinical.example/9c2c96ea894e
ct_d9633d02ae,Clinical trial for bioprinting,Recruiting,Phase 3,2024-06-06,https://clinical.example/eeaac35a641d
ct_0a74474e91,Clinical trial for gene editing (CRISPR),Terminated,Phase 3,2024-12-08,https://clinical.example/a81362fbfc34
ct_479ffe5381,Clinical trial for battery chemistry,Recruiting,Phase 3,2018-11-09,https://clinical.example/c6e776d5b6d1
ct_485f96894e,Clinical trial for nanopore sequencing,Terminated,Preclinical,2018-10-23,https://clinical.example/cd53cd3fbc77
ct_22f37dab84,Clinical trial for biosensors,"Active, not recruiting",Phase 3,2020-03-26,https://clinical.example/73a652fa8fa0
ct_bfaaf5ab41,Clinical trial for wearable health sensors,Recruiting,Preclinical,2024-05-04,https://clinical.example/83a2d65b9fc8
ct_c17a25612b,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 2,2016-08-24,https://clinical.example/f4990260b631
ct_2be82b3dcf,Clinical trial for solid-state cooling,"Active, not recruiting",Phase 3,2017-06-27,https://clinical.example/4a2f1842752f
ct_bd33c08d05,Clinical trial for protein engineering,Terminated,Phase 2,2018-04-09,https://clinical.example/5525729a27ba
ct_3a817d04e4,Clinical trial for protein engineering,Terminated,Preclinical,2024-02-01,https://clinical.example/1644a89072a3
ct_969ce79e01,Clinical trial for bioprinting,"Active, not recruiting",Phase 3,2021-12-16,https://clinical.example/4379bce4833b
ct_3e14cbf768,Clinical trial for photovoltaic perovskites,Terminated,Phase 2,2018-04-12,https://clinical.example/47161393e86e
ct_f77eda5485,Clinical trial for lab-on-a-chip,"Active, not recruiting",Phase 2,2017-02-08,https://clinical.example/2b05158e0f87
ct_2b40daca1b,Clinical trial for gene editing (CRISPR),Terminated,Preclinical,2020-02-08,https://clinical.example/c353f25471ea
ct_9bb686f0fb,Clinical trial for photovoltaic perovskites,Completed,Preclinical,2019-10-05,https://clinical.example/523c4a68dad9
ct_664994f8d8,Clinical trial for wearable health sensors,Recruiting,Phase 1,2023-06-18,https://clinical.example/5925d100a238
ct_b5ca1c76dc,Clinical trial for battery chemistry,Completed,Phase 1,2016-04-02,https://clinical.example/4c06fc60cd04
ct_a0657d5dbe,Clinical trial for diagnostic imaging,Terminated,Phase 1,2019-09-22,https://clinical.example/d99382e16412
ct_d2b977de2a,Clinical trial for wearable health sensors,Terminated,Phase 1,2023-05-05,https://clinical.example/35ddd2f21721
ct_e14d1b6d5a,Clinical trial for battery chemistry,Terminated,Phase 1,2019-05-22,https://clinical.example/841eefe088ab
ct_f3475c869c,Clinical trial for wearable health sensors,"Active, not recruiting",Phase 3,2016-02-19,https://clinical.example/c73cd8c3bfa7
ct_4d148a6910,Clinical trial for bioprinting,"Active, not recruiting",Phase 3,2020-07-05,https://clinical.example/1ab25baac49e
ct_fd59d933ac,Clinical trial for wearable health sensors,Terminated,Phase 1,2023-11-16,https://clinical.example/40f5ffec0637
ct_9443751864,Clinical trial for gene editing (CRISPR),Terminated,Phase 1,2019-03-12,https://clinical.example/190f7190e798
ct_81edaa0852,Clinical trial for bioreactor control,Terminated,Phase 3,2017-08-29,https://clinical.example/ee821d301266
ct_095493a3b9,Clinical trial for lab-on-a-chip,Completed,Phase 2,2022-09-14,https://clinical.example/6261724a2d4a
ct_355d491114,Clinical trial for biosensors,"Active, not recruiting",Phase 1,2017-10-19,https://clinical.example/616299da222c
ct_4bcbe63195,Clinical trial for microfluidics,Completed,Preclinical,2017-01-16,https://clinical.example/c42af35afbf0
ct_65a7eb4c78,Clinical trial for ultrafast Li-ion charging,"Active, not recruiting",Phase 3,2016-01-01,https://clinical.example/3df7e76f0cd8
ct_feaef7c07f,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 3,2019-08-11,https://clinical.example/59c94968afe2
ct_81fc721f26,Clinical trial for single-cell multiomics,Recruiting,Preclinical,2019-09-18,https://clinical.example/45f951d9d485
ct_a177a874fe,Clinical trial for wearable health sensors,"Active, not recruiting",Preclinical,2021-08-30,https://clinical.example/849e2c18dfcc
ct_f534982cf4,Clinical trial for wearable health sensors,Recruiting,Phase 2,2021-08-20,https://clinical.example/d6601b52cccc
ct_7f55abbe2b,Clinical trial for wearable health sensors,Terminated,Phase 3,2018-08-01,https://clinical.example/9bfa69808e1e
ct_dfd8bac0a9,Clinical trial for mRNA therapeutics,Completed,Phase 3,2021-05-30,https://clinical.example/c974466acaa9
ct_a3137fa7ba,Clinical trial for AI-driven medicinal chemistry,Completed,Phase 3,2017-01-15,https://clinical.example/1f03dff51535
ct_45960a4fae,Clinical trial for wearable health sensors,"Active, not recruiting",Phase 2,2020-01-25,https://clinical.example/ce81a5a1c3bd
ct_147477f630,Clinical trial for gene editing (CRISPR),Terminated,Preclinical,2018-04-25,https://clinical.example/8a16c3c7b6c0
ct_cbba5075b6,Clinical trial for single-cell multiomics,Terminated,Phase 2,2017-04-08,https://clinical.example/dc190f0f9731
ct_31fc8d700a,Clinical trial for photovoltaic perovskites,Terminated,Phase 3,2021-01-09,https://clinical.example/9b3c05d1adcc
ct_ae183fbc57,Clinical trial for protein engineering,"Active, not recruiting",Phase 3,2019-02-03,https://clinical.example/341c3a061e9c
ct_44eb20de5f,Clinical trial for bioprinting,"Active, not recruiting",Phase 3,2023-05-23,https://clinical.example/396b2d9f88b1
ct_0bb7e00d00,Clinical trial for graphene membranes,"Active, not recruiting",Phase 1,2024-09-28,https://clinical.example/5fdc87b5ab86
ct_b2d1f3b06b,Clinical trial for robotic prosthetics,"Active, not recruiting",Phase 2,2020-07-29,https://clinical.example/108681dd47fc
ct_e07e9f8867,Clinical trial for AI-driven medicinal chemistry,Completed,Phase 3,2023-10-15,https://clinical.example/beeca49c6321
ct_476718f685,Clinical trial for CAR-T manufacturing,Terminated,Phase 1,2018-02-08,https://clinical.example/9dce34059d5a
ct_96fb206e11,Clinical trial for solid-state cooling,Completed,Phase 2,2019-09-15,https://clinical.example/277caf5b8a42
ct_ac6c53d62a,Clinical trial for protein engineering,Terminated,Preclinical,2024-10-01,https://clinical.example/ec781829eb7b
ct_87720093f4,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 3,2021-08-13,https://clinical.example/4a22e0b1cac9
ct_45e762c6a7,Clinical trial for robotic prosthetics,"Active, not recruiting",Phase 1,2020-08-11,https://clinical.example/d170bb92e356
ct_c25ceb1f15,Clinical trial for single-cell multiomics,Terminated,Phase 1,2023-01-11,https://clinical.example/39c0c4f0af90
ct_95dc6f2d64,Clinical trial for microfluidics,"Active, not recruiting",Phase 1,2021-01-20,https://clinical.example/2f12dbc7a915
ct_842d400df0,Clinical trial for lab-on-a-chip,Completed,Phase 3,2016-08-21,https://clinical.example/4ee4beb63906
ct_57e49a4dee,Clinical trial for bioreactor control,Terminated,Phase 1,2019-10-23,https://clinical.example/3c3658970d14
ct_60ccd6d353,Clinical trial for diagnostic imaging,Completed,Phase 3,2020-11-08,https://clinical.example/2b7df76b7168
ct_d463e6066b,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 2,2018-07-14,https://clinical.example/fc6ec472abca
ct_025430fcfc,Clinical trial for gene editing (CRISPR),Recruiting,Phase 2,2018-05-29,https://clinical.example/ed7cee5a182b
ct_8abd961748,Clinical trial for diagnostic imaging,"Active, not recruiting",Phase 2,2016-08-08,https://clinical.example/74a967aab771
ct_96c5344082,Clinical trial for diagnostic imaging,"Active, not recruiting",Phase 3,2016-03-23,https://clinical.example/e5590c819201
ct_cbf8c5d0a6,Clinical trial for AI-driven medicinal chemistry,Recruiting,Phase 3,2024-12-15,https://clinical.example/a3672790aaec
ct_44ba48a47b,Clinical trial for battery chemistry,Terminated,Phase 1,2016-01-05,https://clinical.example/43cdfe768ccd
ct_5f25d360dd,Clinical trial for lab-on-a-chip,Completed,Phase 3,2020-03-11,https://clinical.example/af3f95d90124
ct_c09e57efe0,Clinical trial for single-cell multiomics,Terminated,Preclinical,2020-12-09,https://clinical.example/a08e254e9965
ct_6e62d5325a,Clinical trial for microfluidics,Recruiting,Phase 2,2017-03-30,https://clinical.example/ac0d78a9969c
ct_2900be1982,Clinical trial for bioprinting,Terminated,Phase 1,2016-02-27,https://clinical.example/0432008093a5
ct_eb737459f8,Clinical trial for microfluidics,Completed,Phase 3,2023-04-22,https://clinical.example/ee3dd634a27e
ct_cbf9fb52b0,Clinical trial for AI-driven medicinal chemistry,Recruiting,Phase 3,2016-04-22,https://clinical.example/c2a0cd1cfede
ct_b62d87347e,Clinical trial for mRNA therapeutics,"Active, not recruiting",Phase 1,2019-02-12,https://clinical.example/9566909682aa
ct_ae65058063,Clinical trial for battery chemistry,Terminated,Preclinical,2022-02-04,https://clinical.example/f7b8b42d8c96
ct_654975f01b,Clinical trial for nanopore sequencing,Recruiting,Phase 2,2017-08-02,https://clinical.example/f8852f50e742
ct_eae7759934,Clinical trial for graphene membranes,Completed,Preclinical,2022-04-10,https://clinical.example/302878988654
ct_5d7ff3faf0,Clinical trial for microfluidics,"Active, not recruiting",Phase 3,2024-06-11,https://clinical.example/43a541552bc5
ct_ccff59b1ce,Clinical trial for battery chemistry,Completed,Phase 3,2021-03-16,https://clinical.example/a243d7059109
ct_acc13ae67c,Clinical trial for solid-state cooling,Terminated,Phase 2,2020-10-27,https://clinical.example/016706d70708
ct_fbbe70e7bd,Clinical trial for ultrafast Li-ion charging,Terminated,Phase 3,2017-09-25,https://clinical.example/48a1c984b8f4
ct_bb1f0ae461,Clinical trial for ultrafast Li-ion charging,"Active, not recruiting",Phase 1,2017-08-22,https://clinical.example/907e394915b2
ct_4584fde0b2,Clinical trial for gene editing (CRISPR),"Active, not recruiting",Phase 2,2022-03-10,https://clinical.example/999634a684be
ct_48414fc396,Clinical trial for CAR-T manufacturing,Terminated,Phase 2,2022-10-23,https://clinical.example/6533ea70b7f0
ct_17265282fc,Clinical trial for ultrafast Li-ion charging,Terminated,Phase 1,2021-06-26,https://clinical.example/d74a664ab307
ct_4b83ebb84c,Clinical trial for microfluidics,Recruiting,Phase 2,2016-10-07,https://clinical.example/2526a6bce9ed
ct_1154e91fc0,Clinical trial for battery chemistry,Completed,Phase 1,2021-10-25,https://clinical.example/b122e7bc5348
ct_6b74ba3e21,Clinical trial for mRNA therapeutics,Recruiting,Phase 2,2016-08-12,https://clinical.example/f6409d626114
ct_e4a2b2d1f5,Clinical trial for solid-state cooling,Terminated,Preclinical,2024-02-03,https://clinical.example/66709d4395cb
ct_20e64b54b1,Clinical trial for photovoltaic perovskites,Completed,Phase 1,2021-02-25,https://clinical.example/c8e2140afea7
ct_c9019e6830,Clinical trial for battery chemistry,Terminated,Phase 2,2019-03-03,https://clinical.example/52ad8c21845e
ct_15fded150b,Clinical trial for wearable health sensors,"Active, not recruiting",Phase 3,2022-02-03,https://clinical.example/42dc421ca730
ct_3647652cd5,Clinical trial for single-cell multiomics,Completed,Preclinical,2022-05-30,https://clinical.example/9ecb994b8e2c
ct_5fe407eb3f,Clinical trial for diagnostic imaging,"Active, not recruiting",Preclinical,2024-04-11,https://clinical.example/cc884cc6e0e0
ct_ac97a8a556,Clinical trial for bioprinting,Completed,Preclinical,2020-07-09,https://clinical.example/fa588dc26642
ct_b14ad68f60,Clinical trial for diagnostic imaging,Recruiting,Preclinical,2024-01-10,https://clinical.example/5c3f670ff3b6
ct_d132ba1205,Clinical trial for ultrafast Li-ion charging,Terminated,Phase 2,2020-11-27,https://clinical.example/ef7b1f0f7184
ct_16dbab67cb,Clinical trial for single-cell multiomics,Recruiting,Phase 3,2016-06-12,https://clinical.example/22d322fa8ea6
ct_3293cf6bf8,Clinical trial for diagnostic imaging,Terminated,Phase 2,2023-01-05,https://clinical.example/1bf88bdca01c
ct_be73cc18fc,Clinical trial for graphene membranes,Completed,Phase 2,2019-11-05,https://clinical.example/1db8ef112ca9
ct_75db10a9c5,Clinical trial for protein engineering,Completed,Phase 1,2017-01-02,https://clinical.example/647e078322b1
ct_ac6d65ee52,Clinical trial for protein engineering,Recruiting,Preclinical,2021-05-01,https://clinical.example/7ac7e6c11cfd
ct_b17b02df40,Clinical trial for biosensors,Recruiting,Phase 2,2024-03-27,https://clinical.example/509a61bc410e
ct_b113d17813,Clinical trial for bioprinting,"Active, not recruiting",Preclinical,2016-09-07,https://clinical.example/5ce15fc71a59
ct_9bc3ab1d95,Clinical trial for battery chemistry,Recruiting,Phase 2,2016-06-13,https://clinical.example/342823f77a56
ct_e75b241bc3,Clinical trial for battery chemistry,"Active, not recruiting",Phase 3,2021-01-17,https://clinical.example/dee340ad16db
ct_b39c298266,Clinical trial for bioprinting,Terminated,Preclinical,2022-12-07,https://clinical.example/096bb37b508c
ct_8387589f03,Clinical trial for mRNA therapeutics,Recruiting,Phase 1,2022-05-14,https://clinical.example/bc1724cad69f
ct_a024cfd237,Clinical trial for gene editing (CRISPR),Recruiting,Phase 1,2018-11-04,https://clinical.example/7a8b78b3a6c8
ct_3bc16b0078,Clinical trial for gene editing (CRISPR),Recruiting,Phase 3,2024-12-28,https://clinical.example/758ced3b1ada
ct_8e979f3512,Clinical trial for gene editing (CRISPR),Completed,Preclinical,2020-03-26,https://clinical.example/f4d794ad43b2
ct_a1083565db,Clinical trial for bioreactor control,Completed,Phase 3,2023-04-17,https://clinical.example/1f5eda424b6f
ct_8bc2274e28,Clinical trial for microfluidics,Recruiting,Phase 1,2016-12-03,https://clinical.example/2c7cf750ad10
ct_8a2ad4c5bf,Clinical trial for single-cell multiomics,Completed,Preclinical,2021-01-22,https://clinical.example/b4c31e800707
ct_0ccee437bc,Clinical trial for robotic prosthetics,"Active, not recruiting",Phase 2,2018-12-12,https://clinical.example/2f7d88750733
ct_0386a11280,Clinical trial for wearable health sensors,Recruiting,Phase 2,2018-06-26,https://clinical.example/02bc1465b85d
ct_fc4894e192,Clinical trial for protein engineering,Terminated,Phase 1,2020-06-03,https://clinical.example/8e9ccbf79ae2
ct_f0bf699bdc,Clinical trial for AI-driven medicinal chemistry,Recruiting,Preclinical,2018-01-21,https://clinical.example/b93bb462d7c3
ct_bbef8f691b,Clinical trial for bioreactor control,Terminated,Preclinical,2017-07-14,https://clinical.example/ef9f22f1b8ac
ct_a1b06ea578,Clinical trial for nanopore sequencing,Recruiting,Phase 2,2019-12-01,https://clinical.example/f6178c9d6586
ct_6635353b39,Clinical trial for bioprinting,Terminated,Phase 2,2020-04-23,https://clinical.example/c8d31468de29
ct_9a66bf5ec0,Clinical trial for wearable health sensors,"Active, not recruiting",Phase 2,2019-01-02,https://clinical.example/7d16a39722cd
ct_2d2f218361,Clinical trial for diagnostic imaging,Terminated,Phase 2,2017-04-25,https://clinical.example/a30a8511b8f6
ct_f2a3c4faca,Clinical trial for nanopore sequencing,Recruiting,Phase 1,2023-07-15,https://clinical.example/a4fb066fb0c5
ct_a0a0d97042,Clinical trial for ultrafast Li-ion charging,Recruiting,Preclinical,2024-03-21,https://clinical.example/88e61c8efd29
ct_5b1a413760,Clinical trial for robotic prosthetics,Completed,Phase 2,2018-05-20,https://clinical.example/d7385d56d20a
ct_271d62d8a3,Clinical trial for protein engineering,Terminated,Preclinical,2018-12-01,https://clinical.example/15001038476f
ct_8c863d6bda,Clinical trial for battery chemistry,Terminated,Phase 3,2021-09-30,https://clinical.example/64f60cf35624
ct_0e701e671e,Clinical trial for mRNA therapeutics,Recruiting,Phase 1,2021-07-24,https://clinical.example/9cff8a29533e
ct_e6f9174320,Clinical trial for photovoltaic perovskites,Completed,Phase 1,2019-09-15,https://clinical.example/55209e66d7ad
ct_ab7c8d3e8a,Clinical trial for wearable health sensors,Terminated,Phase 1,2022-06-07,https://clinical.example/bfa87032090a
ct_2accd3912e,Clinical trial for battery chemistry,"Active, not recruiting",Phase 1,2024-07-31,https://clinical.example/bed5c247ad25
ct_bf951439ab,Clinical trial for robotic prosthetics,Completed,Preclinical,2021-06-10,https://clinical.example/ae154e496664
ct_40f969535d,Clinical trial for wearable health sensors,Completed,Preclinical,2017-01-07,https://clinical.example/685eef0cfee8
ct_33d7b6a263,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 2,2019-07-27,https://clinical.example/79698dda9dc0
ct_0ee01f7a49,Clinical trial for CAR-T manufacturing,"Active, not recruiting",Phase 3,2021-04-20,https://clinical.example/0c27c08b07cc
ct_afce50d3a3,Clinical trial for ultrafast Li-ion charging,Recruiting,Phase 2,2016-12-25,https://clinical.example/5d9bcd770236
ct_89cde2f106,Clinical trial for ultrafast Li-ion charging,Terminated,Preclinical,2016-05-06,https://clinical.example/528e9dcfc47e
ct_4b2888fa90,Clinical trial for photovoltaic perovskites,Completed,Phase 2,2022-06-13,https://clinical.example/e373bdc1813d
ct_1796d89454,Clinical trial for wearable health sensors,"Active, not recruiting",Phase 2,2016-11-06,https://clinical.example/8bd4676ead35
ct_d6616ab173,Clinical trial for battery chemistry,"Active, not recruiting",Phase 3,2018-12-14,https://clinical.example/d5805a04fc3e
ct_d432cfdb26,Clinical trial for gene editing (CRISPR),Completed,Phase 3,2024-08-05,https://clinical.example/5764e6ca2ec6
ct_407e6195c5,Clinical trial for lab-on-a-chip,Completed,Phase 3,2017-11-23,https://clinical.example/0085b872f051
ct_104350ccd1,Clinical trial for bioprinting,"Active, not recruiting",Preclinical,2020-11-26,https://clinical.example/4c9acf180711
ct_61d7515050,Clinical trial for ultrafast Li-ion charging,Recruiting,Phase 3,2016-10-02,https://clinical.example/429e7d73b6f0
ct_721ef39ad5,Clinical trial for nanopore sequencing,Terminated,Phase 1,2016-07-25,https://clinical.example/442a208474f9
ct_97593b6f5b,Clinical trial for solid-state cooling,Recruiting,Preclinical,2018-04-25,https://clinical.example/91f9db971419
ct_b055ea2080,Clinical trial for nanopore sequencing,Recruiting,Phase 3,2018-08-31,https://clinical.example/2136dc7c5f8b
ct_4d5eb92259,Clinical trial for battery chemistry,"Active, not recruiting",Phase 3,2024-01-20,https://clinical.example/37384b53196d
ct_4b0a817ac4,Clinical trial for graphene membranes,"Active, not recruiting",Preclinical,2018-08-14,https://clinical.example/bf9fef77f392
ct_5d5aa8138a,Clinical trial for AI-driven medicinal chemistry,"Active, not recruiting",Preclinical,2021-03-04,https://clinical.example/f7a16e053fd7
ct_1751b0fa71,Clinical trial for robotic prosthetics,Recruiting,Preclinical,2016-10-01,https://clinical.example/ef8790ed176a
ct_f9863be12d,Clinical trial for AI-driven medicinal chemistry,Terminated,Phase 2,2023-05-10,https://clinical.example/009743292638
ct_54e93c2767,Clinical trial for bioreactor control,Completed,Phase 3,2019-06-18,https://clinical.example/e9b61702b792
ct_714d25d0a9,Clinical trial for nanopore sequencing,Terminated,Phase 2,2017-12-15,https://clinical.example/df7e5f15dc11
ct_c157450dba,Clinical trial for CAR-T manufacturing,Recruiting,Preclinical,2016-03-25,https://clinical.example/3c3aef0a3a19
ct_ff0d23f5b7,Clinical trial for diagnostic imaging,"Active, not recruiting",Phase 1,2020-02-03,https://clinical.example/4be277919e1a
ct_267b24713b,Clinical trial for robotic prosthetics,Terminated,Phase 3,2022-11-04,https://clinical.example/f52384e1f9a0
ct_23cc8e16ec,Clinical trial for wearable health sensors,Recruiting,Phase 2,2016-12-27,https://clinical.example/6e19a2805122
ct_028af1481e,Clinical trial for lab-on-a-chip,Completed,Phase 3,2022-10-29,https://clinical.example/bb6288083dee
ct_e466d495c0,Clinical trial for CAR-T manufacturing,"Active, not recruiting",Preclinical,2024-06-07,https://clinical.example/dfb3dab9077f
ct_1a65a63045,Clinical trial for ultrafast Li-ion charging,"Active, not recruiting",Phase 2,2023-04-21,https://clinical.example/476ee6720f87
ct_80f9ef780f,Clinical trial for photovoltaic perovskites,Recruiting,Phase 3,2022-01-11,https://clinical.example/957019920f54
ct_ea4b1ff25a,Clinical trial for battery chemistry,"Active, not recruiting",Phase 3,2020-06-10,https://clinical.example/71a02befc4d0
ct_7583ae53a4,Clinical trial for diagnostic imaging,Recruiting,Preclinical,2016-03-25,https://clinical.example/3bb0cb7f6ca6
ct_b54b45f588,Clinical trial for CAR-T manufacturing,Terminated,Phase 3,2024-05-17,https://clinical.example/5767b72142c5
ct_c0c150a4d1,Clinical trial for battery chemistry,"Active, not recruiting",Phase 1,2021-02-04,https://clinical.example/5973b8de5e47
ct_e36359d4d9,Clinical trial for single-cell multiomics,"Active, not recruiting",Phase 3,2021-08-01,https://clinical.example/b7f75c3a8e0b
ct_0da848b460,Clinical trial for AI-driven medicinal chemistry,Terminated,Phase 3,2017-05-08,https://clinical.example/54be31b6ed83
ct_bca9b2e8a3,Clinical trial for CAR-T manufacturing,Completed,Phase 3,2017-02-23,https://clinical.example/6b740bf8bc2e
ct_b530b37c10,Clinical trial for graphene membranes,Completed,Phase 3,2022-02-20,https://clinical.example/217950b96441
ct_81a8edaa77,Clinical trial for microfluidics,Recruiting,Phase 3,2024-04-20,https://clinical.example/3ea2f9153341
ct_6f22405bf7,Clinical trial for gene editing (CRISPR),Terminated,Phase 3,2020-06-02,https://clinical.example/7a2689450f1d
ct_bd1a87b2ab,Clinical trial for protein engineering,Recruiting,Phase 2,2021-09-17,https://clinical.example/8321714cfb95
ct_daba7807b5,Clinical trial for battery chemistry,Terminated,Phase 2,2020-08-01,https://clinical.example/0e4c9bda3c8e
ct_ba0225dc09,Clinical trial for solid-state cooling,"Active, not recruiting",Phase 2,2017-07-01,https://clinical.example/d073cce05594
ct_48bef859f8,Clinical trial for nanopore sequencing,Terminated,Preclinical,2020-12-23,https://clinical.example/1d38cea63dbd
ct_49ce5c7e81,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Preclinical,2024-09-28,https://clinical.example/87e364a60aa5
ct_2e29d1f2ef,Clinical trial for gene editing (CRISPR),Completed,Phase 1,2018-12-21,https://clinical.example/ba87d856f245
ct_099fe4096a,Clinical trial for solid-state cooling,"Active, not recruiting",Phase 2,2019-07-12,https://clinical.example/bd355fa67477
ct_3c8c48b5f0,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 3,2023-10-27,https://clinical.example/b87f5701a592
ct_8853c75e14,Clinical trial for robotic prosthetics,Recruiting,Preclinical,2020-02-12,https://clinical.example/e2aa2c3940c1
ct_6fc9a4dbb4,Clinical trial for bioreactor control,"Active, not recruiting",Preclinical,2021-05-12,https://clinical.example/891eb53d95fc
ct_0a73d4f1f7,Clinical trial for wearable health sensors,Completed,Phase 1,2019-04-16,https://clinical.example/8645e73d73f2
ct_2d30f3ee4e,Clinical trial for AI-driven medicinal chemistry,"Active, not recruiting",Preclinical,2016-10-18,https://clinical.example/912d3176430e
ct_a8ce1ab3f4,Clinical trial for diagnostic imaging,Recruiting,Preclinical,2019-10-09,https://clinical.example/9a3e6e3b6fdd
ct_d71db83e0c,Clinical trial for wearable health sensors,Completed,Phase 1,2024-01-04,https://clinical.example/6dd8c4999350
