disclosure_id,title,summary,inventors,date
disc_2629a7e0dc,Invention disclosure — protein engineering,Describes novel assay for diagnostics.,"[""Inventor 548"", ""Inventor 359""]",2025-07-12
disc_bb443a779d,Invention disclosure — nanopore sequencing,Describes device prototype for manufacturing.,"[""Inventor 325""]",2020-01-07
disc_e7fe34b11c,Invention disclosure — bioreactor control,Describes device prototype for diagnostics.,"[""Inventor 159""]",2020-03-30
disc_6e1434a6b3,Invention disclosure — nanopore sequencing,Describes novel assay for diagnostics.,"[""Inventor 113"", ""Inventor 109"", ""Inventor 600""]",2025-07-11
disc_61d6b78f4c,Invention disclosure — microfluidics,Describes software pipeline for biofabrication.,"[""Inventor 297"", ""Inventor 63"", ""Inventor 509""]",2023-10-31
disc_7cf0507073,Invention disclosure — nanopore sequencing,Describes novel assay for drug discovery.,"[""Inventor 244"", ""Inventor 131""]",2024-06-03
disc_c62522df7b,Invention disclosure — battery chemistry,Describes device prototype for drug discovery.,"[""Inventor 339"", ""Inventor 243"", ""Inventor 80""]",2023-04-15
disc_382df99648,Invention disclosure — mRNA therapeutics,Describes novel assay for biofabrication.,"[""Inventor 206""]",2020-08-31
disc_523ec30d66,Invention disclosure — bioreactor control,Describes device prototype for drug discovery.,"[""Inventor 104""]",2019-06-19
disc_6594af0731,Invention disclosure — protein engineering,Describes software pipeline for diagnostics.,"[""Inventor 6"", ""Inventor 546"", ""Inventor 308""]",2023-09-29
disc_fd793fec73,Invention disclosure — wearable health sensors,Describes software pipeline for manufacturing.,"[""Inventor 527"", ""Inventor 297""]",2022-07-27
disc_2263d0bfdd,Invention disclosure — lab-on-a-chip,Describes novel assay for drug discovery.,"[""Inventor 99"", ""Inventor 188""]",2022-12-23
disc_c1c44d3768,Invention disclosure — battery chemistry,Describes novel assay for drug discovery.,"[""Inventor 484"", ""Inventor 149"", ""Inventor 269""]",2024-12-12
disc_a815dd4dd2,Invention disclosure — graphene membranes,Describes novel assay for drug discovery.,"[""Inventor 279"", ""Inventor 37""]",2021-02-14
disc_66c77c3498,Invention disclosure — graphene membranes,Describes novel assay for manufacturing.,"[""Inventor 453"", ""Inventor 52""]",2021-06-07
disc_7d123993c0,Invention disclosure — nanopore sequencing,Describes novel assay for drug discovery.,"[""Inventor 386""]",2019-03-16
disc_f5081583a4,Invention disclosure — biosensors,Describes device prototype for manufacturing.,"[""Inventor 204"", ""Inventor 282"", ""Inventor 240""]",2020-05-18
disc_963647f1df,Invention disclosure — lab-on-a-chip,Describes software pipeline for drug discovery.,"[""Inventor 349"", ""Inventor 126"", ""Inventor 175""]",2023-01-06
disc_60563e6e50,Invention disclosure — photovoltaic perovskites,Describes novel assay for biofabrication.,"[""Inventor 395""]",2025-03-21
disc_fa03c93695,Invention disclosure — protein engineering,Describes novel assay for biofabrication.,"[""Inventor 225"", ""Inventor 88"", ""Inventor 130""]",2019-03-24
disc_25234443a8,Invention disclosure — CAR-T manufacturing,Describes software pipeline for biofabrication.,"[""Inventor 260"", ""Inventor 407"", ""Inventor 325""]",2023-01-01
disc_4c53fed4ba,Invention disclosure — graphene membranes,Describes novel assay for biofabrication.,"[""Inventor 485"", ""Inventor 575""]",2025-01-05
disc_03125db135,Invention disclosure — gene editing (CRISPR),Describes device prototype for manufacturing.,"[""Inventor 314""]",2024-04-29
disc_fed03175d3,Invention disclosure — biosensors,Describes software pipeline for biofabrication.,"[""Inventor 564"", ""Inventor 313""]",2020-04-21
disc_ae6f8c48ef,Invention disclosure — bioprinting,Describes software pipeline for manufacturing.,"[""Inventor 216"", ""Inventor 126"", ""Inventor 78""]",2025-11-09
disc_5c4b6817f7,Invention disclosure — microfluidics,Describes software pipeline for manufacturing.,"[""Inventor 588"", ""Inventor 5""]",2025-06-12
disc_804d00ecbb,Invention disclosure — single-cell multiomics,Describes software pipeline for biofabrication.,"[""Inventor 48"", ""Inventor 36""]",2025-01-05
disc_695d2960c6,Invention disclosure — nanopore sequencing,Describes novel assay for diagnostics.,"[""Inventor 490""]",2024-08-31
disc_cd764899d5,Invention disclosure — mRNA therapeutics,Describes software pipeline for drug discovery.,"[""Inventor 72""]",2020-11-23
disc_7bf310d50c,Invention disclosure — bioreactor control,Describes device prototype for manufacturing.,"[""Inventor 494"", ""Inventor 513""]",2020-10-30
disc_ca874f01ca,Invention disclosure — diagnostic imaging,Describes device prototype for manufacturing.,"[""Inventor 461"", ""Inventor 368""]",2020-09-05
disc_e3038b23e8,Invention disclosure — bioreactor control,Describes software pipeline for biofabrication.,"[""Inventor 429""]",2022-07-05
disc_77e13b57d3,Invention disclosure — solid-state cooling,Describes software pipeline for manufacturing.,"[""Inventor 502"", ""Inventor 519""]",2024-01-16
disc_b211afd486,Invention disclosure — mRNA therapeutics,Describes software pipeline for drug discovery.,"[""Inventor 208""]",2025-10-29
disc_8684bf693a,Invention disclosure — nanopore sequencing,Describes software pipeline for drug discovery.,"[""Inventor 408"", ""Inventor 286"", ""Inventor 128""]",2022-10-29
disc_999c269251,Invention disclosure — gene editing (CRISPR),Describes device prototype for biofabrication.,"[""Inventor 185"", ""Inventor 258""]",2021-11-22
disc_4453f7a6a0,Invention disclosure — ultrafast Li-ion charging,Describes device prototype for diagnostics.,"[""Inventor 172"", ""Inventor 330""]",2024-01-17
disc_9acd8d448a,Invention disclosure — biosensors,Describes novel assay for biofabrication.,"[""Inventor 191""]",2021-09-20
disc_c8d007de77,Invention disclosure — battery chemistry,Describes software pipeline for manufacturing.,"[""Inventor 154"", ""Inventor 171""]",2024-04-28
disc_4d84af1d55,Invention disclosure — nanopore sequencing,Describes device prototype for biofabrication.,"[""Inventor 593"", ""Inventor 124""]",2024-12-20
disc_9a8d56978c,Invention disclosure — bioreactor control,Describes device prototype for drug discovery.,"[""Inventor 139""]",2025-12-27
disc_7cd4237344,Invention disclosure — wearable health sensors,Describes software pipeline for manufacturing.,"[""Inventor 450"", ""Inventor 23"", ""Inventor 457""]",2025-09-03
disc_b8e20be656,Invention disclosure — bioprinting,Describes device prototype for drug discovery.,"[""Inventor 116"", ""Inventor 376""]",2023-02-03
disc_4e5218d5e3,Invention disclosure — CAR-T manufacturing,Describes device prototype for biofabrication.,"[""Inventor 356"", ""Inventor 30""]",2025-05-10
disc_92fdbbed3c,Invention disclosure — nanopore sequencing,Describes software pipeline for drug discovery.,"[""Inventor 95"", ""Inventor 291""]",2019-12-30
disc_49fac9cbbf,Invention disclosure — wearable health sensors,Describes software pipeline for diagnostics.,"[""Inventor 290"", ""Inventor 523""]",2020-12-25
disc_879ba14d56,Invention disclosure — photovoltaic perovskites,Describes novel assay for manufacturing.,"[""Inventor 146"", ""Inventor 534"", ""Inventor 70""]",2019-11-10
disc_3912256cb7,Invention disclosure — graphene membranes,Describes software pipeline for drug discovery.,"[""Inventor 107"", ""Inventor 192"", ""Inventor 337""]",2023-11-29
disc_9cd754513b,Invention disclosure — battery chemistry,Describes novel assay for manufacturing.,"[""Inventor 369"", ""Inventor 86"", ""Inventor 350""]",2024-11-29
disc_a78f1e496b,Invention disclosure — solid-state cooling,Describes novel assay for manufacturing.,"[""Inventor 216"", ""Inventor 153""]",2019-03-10
disc_345bb980ef,Invention disclosure — AI-driven medicinal chemistry,Describes novel assay for diagnostics.,"[""Inventor 172"", ""Inventor 515"", ""Inventor 373""]",2019-12-21
disc_f55b710c48,Invention disclosure — gene editing (CRISPR),Describes software pipeline for drug discovery.,"[""Inventor 307"", ""Inventor 204""]",2021-12-31
disc_50356d1fdb,Invention disclosure — CAR-T manufacturing,Describes novel assay for biofabrication.,"[""Inventor 534"", ""Inventor 162""]",2019-12-19
disc_95819ba228,Invention disclosure — gene editing (CRISPR),Describes software pipeline for diagnostics.,"[""Inventor 252"", ""Inventor 153""]",2023-06-05
disc_eabe0b14fd,Invention disclosure — bioreactor control,Describes software pipeline for drug discovery.,"[""Inventor 361"", ""Inventor 301"", ""Inventor 392""]",2024-10-28
disc_e0e1d98679,Invention disclosure — AI-driven medicinal chemistry,Describes novel assay for manufacturing.,"[""Inventor 423""]",2019-03-24
disc_9d4675d3b1,Invention disclosure — mRNA therapeutics,Describes novel assay for biofabrication.,"[""Inventor 447"", ""Inventor 157"", ""Inventor 162""]",2020-11-30
disc_aabe58b9c8,Invention disclosure — single-cell multiomics,Describes novel assay for biofabrication.,"[""Inventor 140""]",2021-01-02
disc_cb8892308a,Invention disclosure — bioprinting,Describes device prototype for diagnostics.,"[""Inventor 243"", ""Inventor 600"", ""Inventor 471""]",2020-08-02
disc_b2725e574f,Invention disclosure — biosensors,Describes novel assay for biofabrication.,"[""Inventor 158"", ""Inventor 555""]",2021-04-12
disc_16ac110289,Invention disclosure — mRNA therapeutics,Describes device prototype for drug discovery.,"[""Inventor 236""]",2020-11-22
disc_e911ca93b2,Invention disclosure — gene editing (CRISPR),Describes software pipeline for biofabrication.,"[""Inventor 357""]",2024-03-15
disc_8c1862f85f,Invention disclosure — microfluidics,Describes device prototype for manufacturing.,"[""Inventor 310""]",2025-03-23
disc_1eaab1b68a,Invention disclosure — bioreactor control,Describes device prototype for manufacturing.,"[""Inventor 182"", ""Inventor 276"", ""Inventor 111""]",2022-12-13
disc_9c8156152c,Invention disclosure — graphene membranes,Describes software pipeline for drug discovery.,"[""Inventor 203""]",2021-09-01
disc_54d5d01c9b,Invention disclosure — photovoltaic perovskites,Describes novel assay for biofabrication.,"[""Inventor 376"", ""Inventor 403""]",2021-05-24
disc_ea92b13d31,Invention disclosure — solid-state cooling,Describes novel assay for drug discovery.,"[""Inventor 555"", ""Inventor 54"", ""Inventor 313""]",2022-04-24
disc_de674cfbdf,Invention disclosure — protein engineering,Describes software pipeline for diagnostics.,"[""Inventor 464"", ""Inventor 399"", ""Inventor 47""]",2024-02-07
disc_c841d56ca2,Invention disclosure — AI-driven medicinal chemistry,Describes software pipeline for drug discovery.,"[""Inventor 541"", ""Inventor 48""]",2019-04-28
disc_e111163bd7,Invention disclosure — protein engineering,Describes software pipeline for manufacturing.,"[""Inventor 13"", ""Inventor 165"", ""Inventor 596""]",2020-01-12
disc_c6458603e6,Invention disclosure — wearable health sensors,Describes novel assay for diagnostics.,"[""Inventor 167"", ""Inventor 577"", ""Inventor 377""]",2022-03-20
disc_6b950ad658,Invention disclosure — mRNA therapeutics,Describes novel assay for diagnostics.,"[""Inventor 520"", ""Inventor 198"", ""Inventor 89""]",2021-02-26
disc_08bacb64ea,Invention disclosure — gene editing (CRISPR),Describes novel assay for diagnostics.,"[""Inventor 132"", ""Inventor 538"", ""Inventor 346""]",2021-08-06
disc_94d5eb7675,Invention disclosure — microfluidics,Describes novel assay for drug discovery.,"[""Inventor 531""]",2023-02-14
disc_661e7296c4,Invention disclosure — mRNA therapeutics,Describes software pipeline for drug discovery.,"[""Inventor 256""]",2021-04-18
disc_028f559f33,Invention disclosure — mRNA therapeutics,Describes novel assay for biofabrication.,"[""Inventor 554""]",2023-06-01
disc_2852bc8333,Invention disclosure — diagnostic imaging,Describes device prototype for diagnostics.,"[""Inventor 266"", ""Inventor 239""]",2023-09-06
disc_3043303928,Invention disclosure — mRNA therapeutics,Describes novel assay for diagnostics.,"[""Inventor 472""]",2023-05-26
disc_5df3207f4b,Invention disclosure — CAR-T manufacturing,Describes software pipeline for biofabrication.,"[""Inventor 402"", ""Inventor 257""]",2020-08-28
disc_7f7beadf2a,Invention disclosure — ultrafast Li-ion charging,Describes software pipeline for drug discovery.,"[""Inventor 127""]",2019-01-01
disc_abba8ffb86,Invention disclosure — protein engineering,Describes software pipeline for diagnostics.,"[""Inventor 98""]",2020-02-08
disc_d439899f8a,Invention disclosure — robotic prosthetics,Describes software pipeline for drug discovery.,"[""Inventor 150""]",2019-05-08
disc_bac8e88ba1,Invention disclosure — bioprinting,Describes software pipeline for manufacturing.,"[""Inventor 102""]",2025-09-05
disc_8d4835b2ef,Invention disclosure — lab-on-a-chip,Describes device prototype for drug discovery.,"[""Inventor 512"", ""Inventor 195"", ""Inventor 179""]",2025-02-16
disc_2d60142c56,Invention disclosure — microfluidics,Describes software pipeline for manufacturing.,"[""Inventor 593"", ""Inventor 101"", ""Inventor 540""]",2024-05-15
disc_3910b29d7f,Invention disclosure — robotic prosthetics,Describes novel assay for manufacturing.,"[""Inventor 341"", ""Inventor 400"", ""Inventor 36""]",2023-03-10
disc_f7258ed6cc,Invention disclosure — mRNA therapeutics,Describes novel assay for diagnostics.,"[""Inventor 85"", ""Inventor 490"", ""Inventor 220""]",2021-02-27
disc_27240bc98f,Invention disclosure — ultrafast Li-ion charging,Describes software pipeline for diagnostics.,"[""Inventor 366""]",2024-07-14
disc_468a7bd063,Invention disclosure — bioreactor control,Describes novel assay for manufacturing.,"[""Inventor 131"", ""Inventor 317"", ""Inventor 118""]",2020-03-23
disc_5f520095b7,Invention disclosure — AI-driven medicinal chemistry,Describes software pipeline for drug discovery.,"[""Inventor 591"", ""Inventor 446""]",2023-09-14
disc_703021e178,Invention disclosure — biosensors,Describes device prototype for diagnostics.,"[""Inventor 93"", ""Inventor 291""]",2025-02-25
disc_c6ffe92f2c,Invention disclosure — solid-state cooling,Describes device prototype for biofabrication.,"[""Inventor 76"", ""Inventor 413"", ""Inventor 160""]",2022-09-29
disc_cf4346a8e6,Invention disclosure — battery chemistry,Describes software pipeline for drug discovery.,"[""Inventor 520"", ""Inventor 273""]",2025-07-18
disc_ee2f4d3953,Invention disclosure — biosensors,Describes novel assay for drug discovery.,"[""Inventor 18"", ""Inventor 158"", ""Inventor 542""]",2020-06-30
disc_ca503605a1,Invention disclosure — wearable health sensors,Describes novel assay for diagnostics.,"[""Inventor 387""]",2023-02-13
disc_af1c1e8ef2,Invention disclosure — protein engineering,Describes software pipeline for diagnostics.,"[""Inventor 154"", ""Inventor 511""]",2025-04-18
disc_bf0c485bda,Invention disclosure — graphene membranes,Describes software pipeline for biofabrication.,"[""Inventor 340""]",2023-04-22
disc_e2aab99b7e,Invention disclosure — wearable health sensors,Describes software pipeline for manufacturing.,"[""Inventor 71"", ""Inventor 278"", ""Inventor 462""]",2024-06-29
disc_0a2b6bfc8a,Invention disclosure — graphene membranes,Describes device prototype for manufacturing.,"[""Inventor 193"", ""Inventor 474"", ""Inventor 17""]",2021-09-10
disc_e105f76fe6,Invention disclosure — photovoltaic perovskites,Describes device prototype for biofabrication.,"[""Inventor 541""]",2021-09-13
disc_57fa31bb92,Invention disclosure — ultrafast Li-ion charging,Describes novel assay for diagnostics.,"[""Inventor 268"", ""Inventor 383"", ""Inventor 474""]",2020-10-04
disc_1694abf5b1,Invention disclosure — lab-on-a-chip,Describes novel assay for biofabrication.,"[""Inventor 34"", ""Inventor 315"", ""Inventor 375""]",2023-12-27
disc_a90ce06928,Invention disclosure — graphene membranes,Describes software pipeline for biofabrication.,"[""Inventor 236"", ""Inventor 168""]",2023-01-28
disc_bdd8a82c48,Invention disclosure — bioprinting,Describes device prototype for manufacturing.,"[""Inventor 535"", ""Inventor 411""]",2022-04-12
disc_4b5743bbc6,Invention disclosure — mRNA therapeutics,Describes device prototype for manufacturing.,"[""Inventor 145"", ""Inventor 597"", ""Inventor 376""]",2024-10-03
disc_f0339a1084,Invention disclosure — mRNA therapeutics,Describes novel assay for diagnostics.,"[""Inventor 581"", ""Inventor 245""]",2021-06-01
disc_9247ebb764,Invention disclosure — robotic prosthetics,Describes software pipeline for manufacturing.,"[""Inventor 181"", ""Inventor 538""]",2019-02-06
disc_a58bf9f800,Invention disclosure — CAR-T manufacturing,Describes software pipeline for biofabrication.,"[""Inventor 565"", ""Inventor 213"", ""Inventor 563""]",2021-03-08
disc_c24e279993,Invention disclosure — battery chemistry,Describes novel assay for drug discovery.,"[""Inventor 121""]",2022-03-12
disc_eed01fa9b7,Invention disclosure — nanopore sequencing,Describes software pipeline for drug discovery.,"[""Inventor 446"", ""Inventor 568""]",2022-06-16
disc_1515056713,Invention disclosure — AI-driven medicinal chemistry,Describes device prototype for biofabrication.,"[""Inventor 515"", ""Inventor 589"", ""Inventor 335""]",2022-08-24
disc_ec1ed1428f,Invention disclosure — CAR-T manufacturing,Describes device prototype for biofabrication.,"[""Inventor 36"", ""Inventor 49""]",2025-11-01
disc_2b6a2546cd,Invention disclosure — single-cell multiomics,Describes software pipeline for biofabrication.,"[""Inventor 231""]",2021-01-12
disc_dda74b843e,Invention disclosure — solid-state cooling,Describes software pipeline for biofabrication.,"[""Inventor 597""]",2025-07-26
disc_f22508692e,Invention disclosure — wearable health sensors,Describes novel assay for manufacturing.,"[""Inventor 222""]",2022-03-04
disc_a4413a06e6,Invention disclosure — AI-driven medicinal chemistry,Describes device prototype for biofabrication.,"[""Inventor 550""]",2019-07-10
disc_a17c513f26,Invention disclosure — lab-on-a-chip,Describes software pipeline for diagnostics.,"[""Inventor 378"", ""Inventor 86"", ""Inventor 92""]",2019-09-30
disc_fa1f4ebb4a,Invention disclosure — biosensors,Describes software pipeline for biofabrication.,"[""Inventor 7""]",2025-12-07
disc_b9baa53950,Invention disclosure — gene editing (CRISPR),Describes software pipeline for manufacturing.,"[""Inventor 259"", ""Inventor 544""]",2024-04-04
disc_b2f666f798,Invention disclosure — solid-state cooling,Describes software pipeline for manufacturing.,"[""Inventor 204"", ""Inventor 461"", ""Inventor 223""]",2020-07-15
disc_01d5f9710a,Invention disclosure — nanopore sequencing,Describes novel assay for drug discovery.,"[""Inventor 164"", ""Inventor 117""]",2024-08-15
disc_91c350615b,Invention disclosure — robotic prosthetics,Describes device prototype for drug discovery.,"[""Inventor 229""]",2025-06-05
disc_197a3d9722,Invention disclosure — mRNA therapeutics,Describes software pipeline for drug discovery.,"[""Inventor 112"", ""Inventor 220"", ""Inventor 5""]",2025-07-16
disc_077e8d5f06,Invention disclosure — single-cell multiomics,Describes software pipeline for biofabrication.,"[""Inventor 81"", ""Inventor 226"", ""Inventor 144""]",2022-08-08
disc_6c7cfdba64,Invention disclosure — photovoltaic perovskites,Describes software pipeline for drug discovery.,"[""Inventor 69"", ""Inventor 369""]",2025-05-03
disc_2998ff80cf,Invention disclosure — gene editing (CRISPR),Describes novel assay for diagnostics.,"[""Inventor 79"", ""Inventor 582""]",2020-11-17
disc_e7255968bc,Invention disclosure — graphene membranes,Describes device prototype for manufacturing.,"[""Inventor 479"", ""Inventor 594"", ""Inventor 596""]",2022-07-16
disc_11b32668b1,Invention disclosure — microfluidics,Describes software pipeline for manufacturing.,"[""Inventor 195"", ""Inventor 94"", ""Inventor 139""]",2021-06-10
disc_cefd645c06,Invention disclosure — robotic prosthetics,Describes software pipeline for drug discovery.,"[""Inventor 323"", ""Inventor 474""]",2019-05-21
disc_3193f74d25,Invention disclosure — microfluidics,Describes device prototype for manufacturing.,"[""Inventor 554"", ""Inventor 284"", ""Inventor 364""]",2021-01-22
disc_c6289bdcda,Invention disclosure — bioreactor control,Describes software pipeline for manufacturing.,"[""Inventor 446"", ""Inventor 176"", ""Inventor 491""]",2022-04-10
disc_5cfb10dcc2,Invention disclosure — bioprinting,Describes device prototype for biofabrication.,"[""Inventor 511"", ""Inventor 345""]",2019-02-15
disc_2304670a46,Invention disclosure — microfluidics,Describes software pipeline for drug discovery.,"[""Inventor 583""]",2023-02-25
disc_b850507623,Invention disclosure — graphene membranes,Describes novel assay for drug discovery.,"[""Inventor 155"", ""Inventor 384""]",2019-07-17
disc_b49e84e5a8,Invention disclosure — robotic prosthetics,Describes novel assay for diagnostics.,"[""Inventor 379"", ""Inventor 7"", ""Inventor 2""]",2025-03-06
disc_28a22ba5be,Invention disclosure — biosensors,Describes novel assay for diagnostics.,"[""Inventor 276""]",2020-02-26
disc_8f67f2e62f,Invention disclosure — CAR-T manufacturing,Describes software pipeline for drug discovery.,"[""Inventor 35"", ""Inventor 404"", ""Inventor 340""]",2021-02-17
disc_4800e5e334,Invention disclosure — single-cell multiomics,Describes software pipeline for drug discovery.,"[""Inventor 175"", ""Inventor 547"", ""Inventor 185""]",2025-12-22
disc_9b485ef80a,Invention disclosure — wearable health sensors,Describes device prototype for drug discovery.,"[""Inventor 234""]",2025-05-26
disc_a6be75bc55,Invention disclosure — single-cell multiomics,Describes novel assay for biofabrication.,"[""Inventor 54""]",2025-04-23
disc_22ad4ee0bd,Invention disclosure — battery chemistry,Describes software pipeline for manufacturing.,"[""Inventor 522""]",2021-11-05
disc_e2acf0277f,Invention disclosure — bioprinting,Describes device prototype for drug discovery.,"[""Inventor 5""]",2025-01-11
disc_bca00bd954,Invention disclosure — microfluidics,Describes device prototype for diagnostics.,"[""Inventor 370"", ""Inventor 341""]",2021-05-13
disc_be7d1ee944,Invention disclosure — CAR-T manufacturing,Describes novel assay for manufacturing.,"[""Inventor 45"", ""Inventor 399"", ""Inventor 532""]",2023-02-10
disc_533b3be141,Invention disclosure — bioreactor control,Describes software pipeline for biofabrication.,"[""Inventor 552""]",2024-03-25
disc_30e63e4902,Invention disclosure — nanopore sequencing,Describes device prototype for drug discovery.,"[""Inventor 403"", ""Inventor 19""]",2025-12-08
disc_ba72a1a55a,Invention disclosure — graphene membranes,Describes novel assay for diagnostics.,"[""Inventor 2""]",2023-01-22
disc_e3dd32d96d,Invention disclosure — wearable health sensors,Describes software pipeline for diagnostics.,"[""Inventor 117"", ""Inventor 243"", ""Inventor 113""]",2019-11-15
disc_373ab8e23e,Invention disclosure — nanopore sequencing,Describes device prototype for manufacturing.,"[""Inventor 223"", ""Inventor 143""]",2025-01-01
